rounds,split,samples,cipher_label_1,random_label_0,positive_rate
3,test,3000,1505,1495,0.5016666666666667
3,train,12000,5987,6013,0.4989166666666667
3,val,3000,1497,1503,0.499
4,test,3000,1493,1507,0.49766666666666665
4,train,12000,5973,6027,0.49775
4,val,3000,1515,1485,0.505
5,test,3000,1507,1493,0.5023333333333333
5,train,12000,6000,6000,0.5
5,val,3000,1495,1505,0.49833333333333335
6,test,3000,1516,1484,0.5053333333333333
6,train,12000,6009,5991,0.50075
6,val,3000,1512,1488,0.504
7,test,3000,1477,1523,0.49233333333333335
7,train,12000,5982,6018,0.4985
7,val,3000,1486,1514,0.49533333333333335
8,test,3000,1502,1498,0.5006666666666667
8,train,12000,6080,5920,0.5066666666666667
8,val,3000,1471,1529,0.49033333333333334
